musica,tag_musica,tag_trecho,text,artista,ntokens
Camaro Amarelo,musica131,musica131_trecho2,Quando eu passo no,Munhoz Mariano,4
Camaro Amarelo,musica131,musica131_trecho3,Quando eu passava por você,Munhoz Mariano,5
Camaro Amarelo,musica131,musica131_trecho6,"Fazia de tudo pra me ver, pra me perceber",Munhoz Mariano,9
Camaro Amarelo,musica131,musica131_trecho7,Mas nem me olhava,Munhoz Mariano,4
Camaro Amarelo,musica131,musica131_trecho8,Aí veio a herança do meu véio,Munhoz Mariano,7
Camaro Amarelo,musica131,musica131_trecho9,"E resolveu os meus problemas, minha situação",Munhoz Mariano,7
Camaro Amarelo,musica131,musica131_trecho10,E do dia pra noite fiquei rico,Munhoz Mariano,7
Camaro Amarelo,musica131,musica131_trecho12,"Tô na grife, tô bonito, tô andando igual patrão",Munhoz Mariano,9
Camaro Amarelo,musica131,musica131_trecho13,Agora eu fiquei doce igual caramelo,Munhoz Mariano,6
Camaro Amarelo,musica131,musica131_trecho14,"E agora você vem, né?",Munhoz Mariano,5
Camaro Amarelo,musica131,musica131_trecho15,Agora você quer?,Munhoz Mariano,3
Camaro Amarelo,musica131,musica131_trecho16,Só que agora vou escolher,Munhoz Mariano,5
Camaro Amarelo,musica131,musica131_trecho17,Tá sobrando mulher,Munhoz Mariano,3
Camaro Amarelo,musica131,musica131_trecho18,Agora você diz:,Munhoz Mariano,3
Camaro Amarelo,musica131,musica131_trecho20,Tô tirando onda de,Munhoz Mariano,4
Camaro Amarelo,musica131,musica131_trecho21,Camaro amarelo,Munhoz Mariano,2
Camaro Amarelo,musica131,musica131_trecho23,Vem cá que eu te quero,Munhoz Mariano,6
Alô Porteiro,musica164,musica164_trecho1,Pegue suas coisas que estão aqui,Marilia Mendonca,6
Alô Porteiro,musica164,musica164_trecho2,A mulher carinhosa e fiel que te amava,Marilia Mendonca,8
Alô Porteiro,musica164,musica164_trecho3,"Pega o elevador, a sua mala e vaza",Marilia Mendonca,8
Alô Porteiro,musica164,musica164_trecho4,Tô avisando lá na portaria,Marilia Mendonca,5
Alô Porteiro,musica164,musica164_trecho5,Que aqui você não entra mais,Marilia Mendonca,6
Alô Porteiro,musica164,musica164_trecho6,Alô porteiro,Marilia Mendonca,2
Alô Porteiro,musica164,musica164_trecho7,Tô ligando pra te avisar,Marilia Mendonca,5
Alô Porteiro,musica164,musica164_trecho8,Que a partir de agora eu tô solteira,Marilia Mendonca,8
Alô Porteiro,musica164,musica164_trecho9,Já me cansei da brincadeira,Marilia Mendonca,5
Alô Porteiro,musica164,musica164_trecho10,"Chame o táxi, que ele vai pagar",Marilia Mendonca,7
Alô Porteiro,musica164,musica164_trecho11,Nesse apartamento você não entra mais,Marilia Mendonca,6
Alô Porteiro,musica164,musica164_trecho12,Que esse homem que está ai,Marilia Mendonca,6
Alô Porteiro,musica164,musica164_trecho13,Ele não pode mais subir,Marilia Mendonca,5
Alô Porteiro,musica164,musica164_trecho14,Tá proibido de entrar,Marilia Mendonca,4
Alô Porteiro,musica164,musica164_trecho15,"Olha o que me fez, você foi me trair",Marilia Mendonca,9
Alô Porteiro,musica164,musica164_trecho16,Agora arrependido quer voltar atrás,Marilia Mendonca,5
Alô Porteiro,musica164,musica164_trecho17,Já deu,Marilia Mendonca,2
Alô Porteiro,musica164,musica164_trecho18,Cansei das suas mentiras mal contadas,Marilia Mendonca,6
Alô Porteiro,musica164,musica164_trecho19,"Cresci, não acredito mais em conto de fada",Marilia Mendonca,8
Alô Porteiro,musica164,musica164_trecho20,Não adianta vir com baixaria,Marilia Mendonca,5
Alô Porteiro,musica164,musica164_trecho21,Morreu,Marilia Mendonca,1
Flores Em Vida,musica167,musica167_trecho1,Quero seu amor agora,Zeze Di Camargo E Luciano,4
Flores Em Vida,musica167,musica167_trecho2,Seu sorriso a me iluminar,Zeze Di Camargo E Luciano,5
Flores Em Vida,musica167,musica167_trecho3,As lágrimas de despedida,Zeze Di Camargo E Luciano,4
Flores Em Vida,musica167,musica167_trecho4,Não estarei por perto pra enxugar,Zeze Di Camargo E Luciano,6
Flores Em Vida,musica167,musica167_trecho5,"Eu quero viver a vida, quero flores em vida",Zeze Di Camargo E Luciano,9
Flores Em Vida,musica167,musica167_trecho6,Colhidas no jardim do amor,Zeze Di Camargo E Luciano,5
Flores Em Vida,musica167,musica167_trecho7,Do nosso amor,Zeze Di Camargo E Luciano,3
Flores Em Vida,musica167,musica167_trecho8,Não a saudade depois,Zeze Di Camargo E Luciano,4
Flores Em Vida,musica167,musica167_trecho9,Seu carinho pela vida afora,Zeze Di Camargo E Luciano,5
Flores Em Vida,musica167,musica167_trecho10,Antes que o fim pare entre nós dois,Zeze Di Camargo E Luciano,8
Flores Em Vida,musica167,musica167_trecho11,Quero sua companhia,Zeze Di Camargo E Luciano,3
Flores Em Vida,musica167,musica167_trecho12,Caminhar na mesma direção,Zeze Di Camargo E Luciano,4
Flores Em Vida,musica167,musica167_trecho13,É certo que um certo dia,Zeze Di Camargo E Luciano,6
Flores Em Vida,musica167,musica167_trecho14,A vida nos separe em alguma estação,Zeze Di Camargo E Luciano,7
Infiel,musica18,musica18_trecho1,Isso não é uma disputa,Marilia Mendonca,5
Infiel,musica18,musica18_trecho2,"Tá sem casa, sem rumo e você é a única opção",Marilia Mendonca,11
Infiel,musica18,musica18_trecho3,"E agora, será que aguenta a barra sozinha?",Marilia Mendonca,8
Infiel,musica18,musica18_trecho4,"Se sabia de tudo, se vira, a culpa não é minha",Marilia Mendonca,11
Infiel,musica18,musica18_trecho5,"O seu prêmio, que não vale nada, estou te entregando",Marilia Mendonca,10
Infiel,musica18,musica18_trecho6,Pus as malas lá fora e ele ainda saiu chorando,Marilia Mendonca,10
Infiel,musica18,musica18_trecho7,Essa competição por amor só serviu pra me machucar,Marilia Mendonca,9
Infiel,musica18,musica18_trecho8,"Tá na sua mão, você agora vai cuidar de um traidor",Marilia Mendonca,11
Infiel,musica18,musica18_trecho9,Me faça esse favor,Marilia Mendonca,4
Infiel,musica18,musica18_trecho10,"Iê-ê-ê, infiel",Marilia Mendonca,2
Infiel,musica18,musica18_trecho11,Eu quero ver você morar num motel,Marilia Mendonca,7
Infiel,musica18,musica18_trecho12,Eu não quero te provocar,Marilia Mendonca,5
Infiel,musica18,musica18_trecho13,Estou te expulsando do meu coração,Marilia Mendonca,6
Infiel,musica18,musica18_trecho14,Assuma as consequências dessa traição,Marilia Mendonca,5
Infiel,musica18,musica18_trecho16,Agora ela vai fazer o meu papel,Marilia Mendonca,7
Infiel,musica18,musica18_trecho17,Daqui um tempo você vai se acostumar,Marilia Mendonca,7
Infiel,musica18,musica18_trecho18,E aí vai ser a ela a quem vai enganar,Marilia Mendonca,10
Infiel,musica18,musica18_trecho19,Você não vai mudar,Marilia Mendonca,4
Infiel,musica18,musica18_trecho20,Descobri faz um ano e tô te procurando pra dizer,Marilia Mendonca,10
Infiel,musica18,musica18_trecho21,Hoje a farsa vai acabar,Marilia Mendonca,5
Infiel,musica18,musica18_trecho23,Hoje não tem hora de ir embora,Marilia Mendonca,7
Infiel,musica18,musica18_trecho24,Hoje ele vai ficar,Marilia Mendonca,4
Infiel,musica18,musica18_trecho25,No momento deve estar feliz e achando que ganhou,Marilia Mendonca,9
Infiel,musica18,musica18_trecho26,"Não perdi nada, acabei de me livrar",Marilia Mendonca,7
Infiel,musica18,musica18_trecho27,"Com certeza ele vai atrás, mas com outra intenção",Marilia Mendonca,9
Na Hora da Raiva,musica206,musica206_trecho1,Encontrei,Henrique & Juliano,1
Na Hora da Raiva,musica206,musica206_trecho2,E uma por uma eu vou ter que colar,Henrique & Juliano,9
Na Hora da Raiva,musica206,musica206_trecho3,Mas foi na hora da raiva,Henrique & Juliano,6
Na Hora da Raiva,musica206,musica206_trecho5,Naquele segundo eu pensei que até te odiava,Henrique & Juliano,8
Na Hora da Raiva,musica206,musica206_trecho6,Mas respirei fundo e vi que eu te amava,Henrique & Juliano,9
Na Hora da Raiva,musica206,musica206_trecho7,Uma caixinha cheia de relatos,Henrique & Juliano,5
Na Hora da Raiva,musica206,musica206_trecho8,Um monte de documentos tão falsos,Henrique & Juliano,6
Na Hora da Raiva,musica206,musica206_trecho9,Nossas vidas,Henrique & Juliano,2
Na Hora da Raiva,musica206,musica206_trecho10,Em minhas mãos agora,Henrique & Juliano,4
Na Hora da Raiva,musica206,musica206_trecho11,Tá cada parte dessa nossa história,Henrique & Juliano,6
Na Hora da Raiva,musica206,musica206_trecho12,E eu não sei se eu rasgo ou jogo fora,Henrique & Juliano,10
Na Hora da Raiva,musica206,musica206_trecho13,E o que é que eu faço agora,Henrique & Juliano,8
Na Hora da Raiva,musica206,musica206_trecho14,Cometi a loucura de nossas fotos rasgar,Henrique & Juliano,7
Pipoco (part. Melody e Dj Chris No Beat),musica364,musica364_trecho2,Nós é embaçada na galopada,Ana Castela,5
Pipoco (part. Melody e Dj Chris No Beat),musica364,musica364_trecho3,"Nem oito segundo, peão não aguenta com essa sentada",Ana Castela,9
Pipoco (part. Melody e Dj Chris No Beat),musica364,musica364_trecho8,Debaixo do meu chapéu não vai mais sair,Ana Castela,8
Pipoco (part. Melody e Dj Chris No Beat),musica364,musica364_trecho9,As boiadeira não dá pra encarar,Ana Castela,6
Pipoco (part. Melody e Dj Chris No Beat),musica364,musica364_trecho10,"Eu sou o combo perfeito pra iludir, yeah",Ana Castela,8
Pipoco (part. Melody e Dj Chris No Beat),musica364,musica364_trecho11,Meu beijo vai te viciar,Ana Castela,5
Pipoco (part. Melody e Dj Chris No Beat),musica364,musica364_trecho13,Se prepara,Ana Castela,2
Pipoco (part. Melody e Dj Chris No Beat),musica364,musica364_trecho15,"Cês fica maluco com a nossa jogada, a gente não para",Ana Castela,11
Pipoco (part. Melody e Dj Chris No Beat),musica364,musica364_trecho17,A minha pegada vai fazer você gamar,Ana Castela,7
Pipoco (part. Melody e Dj Chris No Beat),musica364,musica364_trecho18,"Bota, fivela e chapéu",Ana Castela,4
Pipoco (part. Melody e Dj Chris No Beat),musica364,musica364_trecho20,Karandá,Ana Castela,1
Pipoco (part. Melody e Dj Chris No Beat),musica364,musica364_trecho21,Batom vermelho pros playba chorar,Ana Castela,5
Estrelinha (part. Marília Mendonça),musica384,musica384_trecho1,Enxugue esse rosto,Di Paulo E Paulino,3
Estrelinha (part. Marília Mendonça),musica384,musica384_trecho2,"Eu ficava acordado até tarde, esperando",Di Paulo E Paulino,6
Estrelinha (part. Marília Mendonça),musica384,musica384_trecho3,Só pra ganhar,Di Paulo E Paulino,3
Estrelinha (part. Marília Mendonça),musica384,musica384_trecho4,Um beijo de boa noite antes de dormir?,Di Paulo E Paulino,8
Estrelinha (part. Marília Mendonça),musica384,musica384_trecho5,Daqui não é diferente,Di Paulo E Paulino,4
Estrelinha (part. Marília Mendonça),musica384,musica384_trecho6,"Te beijo, mas você não sente",Di Paulo E Paulino,6
Estrelinha (part. Marília Mendonça),musica384,musica384_trecho7,Quando bater a saudade,Di Paulo E Paulino,4
