iteracao,idx,tag_trecho,titulo,artista,ano,letra,tema,score
1,1,musica1_trecho1,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,Não se diminua pra caber num coração,"Intimidade, desejo e sedução",0.9
1,2,musica1_trecho2,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,"Se ela não quiser, já tem quem vai querer","Infidelidade, tristeza e sofrimento",0.9
1,3,musica1_trecho3,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,Tá na sua frente,"Intimidade, desejo e sedução",0.9
1,4,musica1_trecho4,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,Que azar o meu e que sorte a dela,"Despedidas, morte e fragilidade",0.9
1,5,musica1_trecho5,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,"Eu amando você, você amando ela","Infidelidade, tristeza e sofrimento",0.9
1,6,musica1_trecho6,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,"Eu só quero você, você só quer conselho","Infidelidade, tristeza e sofrimento",0.9
1,7,musica1_trecho7,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,Por que será que ela te trata desse jeito?,"Infidelidade, tristeza e sofrimento",0.9
1,8,musica1_trecho8,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,"Tenta lá, se não der certo, me avisa","Despedidas, morte e fragilidade",0.9
1,9,musica1_trecho9,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,"Posso ser o segundo, terceiro, o quarto amor da sua vida",Amor e relações amorosas,0.8
1,10,musica1_trecho10,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,Que só tem espaço,"Despedidas, morte e fragilidade",0.9
1,11,musica1_trecho11,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,Debaixo do tapete,"Intimidade, desejo e sedução",0.9
1,12,musica1_trecho12,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,Você não tem culpa se ela não enxerga,"Infidelidade, tristeza e sofrimento",0.9
1,13,musica1_trecho13,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,Um palmo à frente do nariz,"Intimidade, desejo e sedução",0.9
1,14,musica1_trecho14,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,"Mas, qualquer coisa, eu tô aqui","Intimidade, desejo e sedução",0.9
1,15,musica1_trecho15,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,"Na verdade, eu sempre estive","Despedidas, morte e fragilidade",0.9
1,16,musica1_trecho16,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,Só tô deixando você viver livre,"Intimidade, desejo e sedução",0.9
1,17,musica1_trecho17,Segundo Amor da Sua Vida,Marilia Mendonca,2025.0,"Mas, mesmo assim, não quero ver você sofrer","Infidelidade, tristeza e sofrimento",0.9
1,18,musica10_trecho1,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,"Respira, não pira","Intimidade, desejo e sedução",0.9
1,19,musica10_trecho2,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,Eu vou curar seu medo,"Inspiração, paz e harmonia",0.9
1,20,musica10_trecho3,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,Me fala onde é que tá doendo,"Infidelidade, tristeza e sofrimento",0.9
1,21,musica10_trecho4,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,Me mostra onde foi que machucou,"Despedidas, morte e fragilidade",0.9
1,22,musica10_trecho5,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,"Que eu vou soprar, beijar","Intimidade, desejo e sedução",0.9
1,23,musica10_trecho6,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,"Beijar, te amar até curar a dor",Amor e relações amorosas,0.9
1,24,musica10_trecho7,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,"Respiro, não piro","Intimidade, desejo e sedução",0.9
1,25,musica10_trecho8,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,"Me beija, me abraça","Intimidade, desejo e sedução",0.9
1,26,musica10_trecho9,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,"Te beijo, te abraço","Intimidade, desejo e sedução",0.8
1,27,musica10_trecho10,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,Deixo acalmar minhas incertezas,"Conhecimento, esperança e expectativa",0.9
1,28,musica10_trecho11,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,Meu medo de amar é normal,Amor e relações amorosas,0.9
1,29,musica10_trecho12,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,"Quem passou por aqui me fez mal, mas passou","Despedidas, morte e fragilidade",0.9
1,30,musica10_trecho13,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,Deixa eu acalmar suas incertezas,"Conhecimento, esperança e expectativa",0.9
1,31,musica10_trecho14,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,"Eu vou soprar, beijar","Intimidade, desejo e sedução",0.9
1,32,musica10_trecho15,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,Seu medo de amar é normal,Amor e relações amorosas,0.9
1,33,musica10_trecho16,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,"Quem passou por aí te fez mal, mas passou","Despedidas, morte e fragilidade",0.9
1,34,musica10_trecho17,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,Eu vou fazer você acreditar no amor,Amor e relações amorosas,0.9
1,35,musica10_trecho18,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,"Princesa, descansa, me ama",Amor e relações amorosas,0.9
1,36,musica10_trecho19,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,Me experimenta de remédio pro teu medo,"Despedidas, morte e fragilidade",0.9
1,37,musica10_trecho20,Princesa (part. Ana Castela),Gustavo Mioto,2025.0,"De oito em oito segundos, te dou um beijo","Intimidade, desejo e sedução",0.9
1,38,musica100_trecho1,A Maior Saudade,Henrique & Juliano,2021.0,Tem amores da vida que não são pra vida,Amor e relações amorosas,0.9
1,39,musica100_trecho2,A Maior Saudade,Henrique & Juliano,2021.0,Apesar de não valer o álcool que eu tô bebendo,"Infidelidade, tristeza e sofrimento",0.9
1,40,musica100_trecho3,A Maior Saudade,Henrique & Juliano,2021.0,"Mesmo que você ligue o foda-se, cê segue sendo","Despedidas, morte e fragilidade",0.9
1,41,musica100_trecho4,A Maior Saudade,Henrique & Juliano,2021.0,A maior saudade de todos os tempos,"Despedidas, morte e fragilidade",0.9
1,42,musica100_trecho5,A Maior Saudade,Henrique & Juliano,2021.0,"Nesse caso, eu e você somos a prova viva",Amor e relações amorosas,0.9
1,43,musica100_trecho6,A Maior Saudade,Henrique & Juliano,2021.0,Tem começo que o fim nem passa na cabeça,"Despedidas, morte e fragilidade",0.9
1,44,musica100_trecho7,A Maior Saudade,Henrique & Juliano,2021.0,"Até que um belo dia, esse dia chega","Despedidas, morte e fragilidade",0.9
1,45,musica100_trecho8,A Maior Saudade,Henrique & Juliano,2021.0,Chega chamando pelo nome quem chamou de amor,Amor e relações amorosas,0.9
