titulo,artista,letra,url,ano,coletado_em,contagem_palavras,contagem_linhas
Amor Dos Outros,Henrique & Juliano,"Mais um casal surgindo, anéis de compromisso Mais um novo amigo pros amigos meus Um sorriso sumindo, um ciúme vindo E a luta agora é entre ele e eu A gente errou tanto pra entrar no eixo Trocou tanta ideia pra ser um casal perfeito Foi se melhorando, se moldando, você consertou, eu consertei E quando tava tudo ok, sobrei Esse sorriso que sumiu da minha cara tá na cara dele O seu pra sempre, que sumiu de mim pra sempre, apareceu pra ele É lindo pegar um te amo no meio do caminho Eu quero ver construir um te amo desde o início O difícil é, pra mim, não ter sido feliz por pouco O fácil é, pra ele, ser feliz com o amor dos outros O difícil é, pra mim, não ter sido feliz por pouco O fácil é, pra ele, ser feliz com o amor dos outros A gente errou tanto pra entrar no eixo Trocou tanta ideia pra ser um casal perfeito Foi se melhorando, se moldando, você consertou, eu consertei E quando tava tudo ok, sobrei Esse sorriso que sumiu da minha cara tá na cara dele O seu pra sempre, que sumiu de mim pra sempre, apareceu pra ele É lindo pegar um te amo no meio do caminho Eu quero ver construir um te amo desde o início O difícil é, pra mim, não ter sido feliz por pouco O fácil é, pra ele, ser feliz com o amor dos outros O difícil é, pra mim, não ter sido feliz por pouco O fácil é, pra ele, ser feliz com o amor dos outros",https://www.letras.mus.br/henrique-e-juliano/amor-dos-outros/,2025.0,2025-09-30T18:48:47.521601,271,1
Seja Ex,Henrique & Juliano,"(Cê foi embora pra ser o quê? Pra ser ex, não foi?)(Então seja) (então seja ex)Minha esperança é você sair Beijar uma boca nos primeiros dez minutos Que aí eu pego ódio da sua cara e, se voltar Cê não bagunça mais um cara inseguro Porque se continuar nessa levada Cê vai ser o meu talvez pra sempre Porque aqui a gente briga, cê vai embora Mas lá fora cê respeita, não beija e não beira gente Cê tá freando a minha vida porque você não sabe o que sente Cê foi embora pra ser ex, seja ex Cê foi embora pra sumir, some O que cê tá fazendo com a minha vida é putaria, me desculpa Não tem outro nome Cê foi embora pra ser ex, seja ex Cê foi embora, então desaparece Porque a gente já passou dos trinta, cê não é mais uma menina E eu não sou moleque Cê foi embora pra ser ex, seja ex Cê foi embora pra sumir, some O que cê tá fazendo com a minha vida é putaria, me desculpa Não tem outro nome Cê foi embora pra ser ex, seja ex Cê foi embora, então desaparece Porque a gente já passou dos trinta, cê não é mais uma menina E eu não sou moleque Cresce(Foi embora pra ser ex e fica nesse chove não molha, sabe?)Porque se continuar nessa levada Cê vai ser o meu talvez pra sempre Porque aqui a gente briga, cê vai embora Mas lá fora cê respeita, não beija e não beira gente Cê tá freando a minha vida porque você não sabe o que sente(Cês sabem já? Sabem?)Cê foi embora pra ser ex, seja ex Cê foi embora pra sumir, some O que cê tá fazendo com a minha vida é putaria, me desculpa Não tem outro nome Cê foi embora pra ser ex, seja ex Cê foi embora, então desaparece Porque a gente já passou dos trinta, cê não é mais uma menina E eu não sou moleque Cê foi embora pra ser ex, seja ex Cê foi embora pra sumir, some O que cê tá fazendo com a minha vida é putaria, me desculpa Não tem outro nome Cê foi embora pra ser ex, seja ex Cê foi embora, então desaparece Porque a gente já passou dos trinta, cê não é mais uma menina E eu não sou moleque Cresce(Seja ex)",https://www.letras.mus.br/henrique-e-juliano/seja-ex/,2025.0,2025-09-30T18:48:50.490566,398,1
Logo Logo,Henrique & Juliano,"O gosto do beijo já me arrepia Por isso que eu sinto tanto medo Já envolvi meu coração demais em problema Não sei sair de problema, eu me conheço Se for verdade, eu acertei bonito Se for mentira, eu tô errando feio Porque eu já tô acelerando na suave e tá faltando quase nada Pra eu perder de vez meu freio Se eu fugir agora Eu não vou saber o final dessa história E conviver com a dúvida é foda Então, se arruma pra me iludir ou não Se for além desse tesão, vou descobrir na hora Ah, ah, ah, ah Se amanhã vou chorar? Aposto Mas que hoje eu vou suar, certeza Se der certo, eu compro as aliança Se der errado Compro uns remédio pra dor de cabeça Se for pra errar, então que eu erre logo Que logo, logo outra pessoa chega Se der certo, eu compro as aliança Se der errado Compro uns remédio pra dor de cabeça, ai, ai, ai, ai Se der certo, eu compro as aliança Se der errado Compro uns remédio pra dor de cabeça Se eu fugir agora Eu não vou saber o final dessa história E conviver com a dúvida é foda Então, se arruma pra me iludir ou não Se for além desse tesão, vou descobrir na hora Ah, ah, ah, ah Se amanhã vou chorar? Aposto Mas que hoje eu vou suar, certeza Se der certo, eu compro as aliança Se der errado Compro uns remédio pra dor de cabeça Se for pra errar, então que eu erre logo Que logo, logo outra pessoa chega Se der certo, eu compro as aliança E se der errado Compro uns remédio pra dor de cabeça, ai, ai, ai, ai Se der certo, eu compro as aliança Se der errado Compro uns remédio pra dor de cabeça",https://www.letras.mus.br/henrique-e-juliano/logo-logo/,2025.0,2025-09-30T18:48:57.108784,306,1
Outro Personagem,Henrique & Juliano,"Horário avançado, estranho esse papo Quer desenterrar o passado Cheia de saudade, de intimidade Perigoso demais Se eu disser que eu não tremi Eu tô mentindo e cê sabe Não é falta de vontade São outras prioridades Acho que cê voltou tarde Não vou poder matar sua saudade mais Meu hoje me impede de voltar atrás Você foi uma fase boa, mas passou Você quer o que eu era, e aquele eu mudou Meus filhos tão dormindo aqui Imagina essa imagem Eu te desejo isso, mas com outro personagem Não me manda mais mensagem Se eu disser que eu não tremi Eu tô mentindo e cê sabe Não é falta de vontade São outras prioridades Acho que cê voltou tarde Não vou poder matar sua saudade mais Meu hoje me impede de voltar atrás Você foi uma fase boa, mas passou Você quer o que eu era, e aquele eu mudou Meus filhos tão dormindo aqui Imagina essa imagem Eu te desejo isso, mas com outro personagem Não vou poder matar sua saudade mais Meu hoje me impede de voltar atrás Você foi uma fase boa, mas passou Você quer o que eu era, e aquele eu mudou Meus filhos tão dormindo aqui Imagina essa imagem Eu te desejo isso, mas com outro personagem Não me manda mais mensagem",https://www.letras.mus.br/henrique-e-juliano/outro-personagem/,2025.0,2025-09-30T18:49:00.410844,219,1
Última Saudade,Henrique & Juliano,"Eu admiro cê mandar essa mensagem Tem que ter cara pra falar o que cê falou Tem que ter peito pra achar que tem direito De começar uma conversa me chamando de amor Cê tá achando que minha vida é um filme? Que pausa e depois volta de onde parou? O relógio roda igual pra todo mundo E, numa dessas rodadas, você rodou, rodou E cê nem reparou(O quê?)Que se eu ligar pra minha última saudade Seu telefone não toca Já tem uns três, quatro amores na frente, com prioridade de volta Se eu falar de ex pela rua Sua orelha nem coça Tem amor na vida que marca, tem amor que passa E cê passou faz horas Desculpa minha sinceridade Mas, respondendo sua mensagem Não, hoje a gente não volta(Hoje não)(E aí, gente? Cês tão bem?)Cê tá achando que minha vida é um filme? Que pausa e depois volta de onde parou? O relógio roda igual pra todo mundo E, numa dessas rodadas, você rodou E cê nem reparou Que se eu ligar pra minha última saudade Seu telefone não toca Já tem uns três, quatro amores na frente, com prioridade de volta Se eu falar de ex pela rua Sua orelha nem coça Tem amor na vida que marca, tem amor que passa E cê passou faz horas Desculpa minha sinceridade Mas, respondendo sua mensagem Não, hoje a gente não volta(Hoje não)",https://www.letras.mus.br/henrique-e-juliano/ultima-saudade/,2025.0,2025-09-30T18:49:08.388127,234,1
Cantada Boba,Jorge & Mateus,"Falaram pra mim que eu sou seletivo demais Que pra pegar eu tem que ter uma lábia a mais Eu não discordo dessa conversa Eu sou difícil mesmo Mas pra quem não me interessa Quem tem moral comigo não tá nessa festa Você me ganha numa cantada boba Minha maior fraqueza é sua voz no ouvido Pra tirar minha roupa, você sabe a brecha O atalho, o caminho E pra levantar da sua cama é um sacrifício Você me ganha numa cantada boba Minha maior fraqueza é sua voz no ouvido Pra tirar minha roupa, você sabe a brecha O atalho, o caminho E pra levantar da sua cama é um sacrifício Você me ganha numa cantada boba Falaram pra mim que eu sou seletivo demais Que pra pegar eu tem que ter uma lábia a mais Eu não discordo dessa conversa Eu sou difícil mesmo Mas pra quem não me interessa Quem tem moral comigo não tá nessa festa Você me ganha numa cantada boba Minha maior fraqueza é sua voz no ouvido Pra tirar minha roupa, você sabe a brecha O atalho, o caminho E pra levantar da sua cama Você me ganha numa cantada boba Minha maior fraqueza é sua voz no ouvido Pra tirar minha roupa, você sabe a brecha O atalho, o caminho E pra levantar da sua cama é um sacrifício Pra tirar minha roupa, você sabe a brecha O atalho, o caminho E pra levantar da sua cama é um sacrifício Um sacrifício Pra tirar minha roupa, você sabe a brecha O atalho, o caminho E pra levantar da sua cama é um sacrifício Você me ganha numa cantada boba Minha maior fraqueza é sua voz no ouvido Pra tirar minha roupa, você sabe a brecha O atalho, o caminho E pra levantar da sua cama é um sacrifício",https://www.letras.mus.br/jorge-mateus/cantada-boba/,2024.0,2025-09-30T18:49:28.300871,306,1
Haverá Sinais (part. Lauana Prado),Jorge & Mateus,"Tá quase, viu? Ontem à noite eu beijei alguém, o choro não caiu Só roupa que caiu Tá quase, viu? (Tá quase, viu?)Hoje mesmo olhei sua foto e nem arrepiei Até assustei Cada foto minha que chega pra você Só mostra o que cê pode ver Cê acha mesmo que eu só sei virar noite, virar copo? Mal cê sabe que quem tá virando nada pra mim é você Ninguém vai saber que eu te esqueci Mas haverá sinais Tipo a minha boca por aí Tipo eu não te ligando mais Ninguém vai saber que eu te esqueci Mas haverá sinais Tipo a minha boca por aí Tipo eu não te ligando mais Tá quase, viu? Ontem à noite eu beijei alguém, o choro não caiu Só roupa que caiu Tá quase, viu? Hoje mesmo eu olhei sua foto e nem arrepiei Até assustei Cada foto minha que chega pra você Só mostra o que cê pode ver Cê acha mesmo que eu só sei virar noite, virar copo? Mal cê sabe que quem tá virando nada pra mim é você Ninguém vai saber que eu te esqueci Mas haverá sinais Tipo a minha boca por aí Tipo eu não te ligando mais Ninguém vai saber que eu te esqueci Mas haverá sinais Tipo a minha boca por aí Tipo eu não te ligando mais Ninguém vai saber que eu te esqueci Mas haverá sinais Tipo a minha boca por aí Tipo eu não te ligando mais Ninguém vai saber que eu te esqueci Tá quase, viu?",https://www.letras.mus.br/jorge-mateus/havera-sinais-part-lauana-prado/,2024.0,2025-09-30T18:49:38.931087,257,1
Leão,Marília Mendonça,"Beijo, Xamã! Segura, Xamã Que o Sol da manhã te dissolva Seu vampiro de filmes pastelão Mas quem vai nos julgar? Sou seu despenteado leão Sei que cê me entende bem Sempre foge quando namora Se você não ama ninguém Por que tá me escutando agora? Sua linda, tão louca Minha Mona Lisa, tira a minha roupa Me fascina, me assassina, me beija na boca Minha mulher, menina, me ensina a ser vida louca Teu olho piscina me afoga e faz boca a boca Renova minha rima, vem de garfo que hoje é sopa, menina Mas quem vai nos julgar? Vilão particular Se eu subo nesse palco aqui Foi Deus que me criou assim E os holofotes vêm ao meu encontro É que eu te amo e nem te conto Não, não posso ser seu santo Sou fato ou hipótese Sou rei, cigano ou nômade Desculpe esse meu jeito soberano Mas hoje é por você que eu canto É por você que eu canto Sei que cê me quer também Marília leoa gostosa Posso te ligar, meu bem? Que que cê tá fazendo agora? Tão lindo, tão louco, meu grande amigo Depois de você, os outros são outros Cê tá fodido, vamo fazer amor Cantar um sertanejo antigo e beijar na boca, amor Pode ser até que você não me dê moral Até me ver no espaço pela banca de jornal",https://www.letras.mus.br/marilia-mendonca/leao/,2023.0,2025-09-30T18:51:12.036920,231,1
Te Amo Demais,Marília Mendonça,"Eu sou assim Nunca soube recitar poesia Não sei palavras de amor Não sou sedutor, não sei fingir, nem poderia Eu não tenho ouro nem prata Mas o meu maior tesouro eu te dei Só quero o seu amor e mais nada Você precisa entender, é que eu não sei dizer Só sei que eu te amo demais Nas noites sozinho, é o teu nome que eu chamo Baby, eu te amo demais Eu só sei dizer: Te amo, te amo Palavras valem menos que um olhar O coração é quem vai te explicar Da cabeça aos pés, eu vou te beijar Como um sábio na arte de amar Não sei mentir pra conquistar uma mulher Daria tudo nesse mundo só pra ter você O destino seja o que Deus quiser Você precisa entender, é que eu não sei dizer Só sei que eu te amo demais Nas noites sozinha, é o teu nome que eu chamo Baby, eu te amo demais Eu só sei dizer: Te amo, te amo Só sei que eu te amo demais Nas noites sozinha, é o teu nome que eu chamo Baby, eu te amo demais Eu só sei dizer: Te amo, te amo Te amo demais Como eu te amo Te amo demais Te amo, te amo Só sei que eu te amo demais Nas noites sozinha, é o teu nome que eu chamo Baby, eu te amo demais Eu só sei dizer: Te amo, te amo Te amo",https://www.letras.mus.br/marilia-mendonca/te-amo-demais/,2023.0,2025-09-30T18:51:21.971238,246,1
Tubarões,Diego e Victor Hugo,Se quer saber de mim Pergunte para mim Se for falar do que passou Conta a parte que você errou Não pergunte se estou bem Não quero ser assunto seu pra mais ninguém Não estrague as minhas canções Vá pro inferno com suas recordações Quem me deixou no mar Não tem direito de me perguntar O que rolou comigo e os tubarões Cê não me deve amor Eu não te devo explicações Cê me deixou voar Agora quer saber aonde eu vou pousar Cancela as suas investigações Cê não me deve amor Eu não te devo explicações Não pergunte se estou bem Não quero ser assunto seu pra mais ninguém Não estrague as minhas canções Vá pro inferno com suas recordações Quem me deixou no mar Não tem direito de me perguntar O que rolou comigo e os tubarões Cê não me deve amor Eu não te devo explicações Cê me deixou voar Agora quer saber aonde eu vou pousar Cancela as suas investigações Cê não me deve amor Eu não te devo explicações Cê não me deve amor Eu não te devo explicações,https://www.letras.mus.br/diego-victor-hugo/tubaroes/,2025.0,2025-09-30T18:53:18.084573,184,1
