titulo,artista,letra,url,ano,coletado_em,contagem_palavras,contagem_linhas
Evidências,Chitãozinho e Xororó,"Quando eu digo que deixei de te amar É porque eu te amo Quando eu digo que não quero mais você É porque eu te quero Eu tenho medo de te dar meu coração E confessar que eu estou em tuas mãos Mas não posso imaginar O que vai ser de mim Se eu te perder um dia Eu me afasto e me defendo de você Mas depois me entrego Faço tipo, falo coisas que eu não sou Mas depois eu nego Mas a verdade É que eu sou louco por você E tenho medo de pensar em te perder Eu preciso aceitar que não dá mais Pra separar as nossas vidas E nessa loucura de dizer que não te quero Vou negando as aparências Disfarçando as evidências Mas pra que viver fingindo Se eu não posso enganar meu coração? Eu sei que te amo! Chega de mentiras De negar o meu desejo Eu te quero mais que tudo Eu preciso do seu beijo Eu entrego a minha vida Pra você fazer o que quiser de mim Só quero ouvir você dizer que sim! Diz que é verdade, que tem saudade Que ainda você pensa muito em mim Diz que é verdade, que tem saudade Que ainda você quer viver pra mim",https://www.letras.mus.br/chitaozinho-e-xororo/768469/,1990.0,2025-09-30T18:47:42.143300,212,1
Alô,Chitãozinho e Xororó,"Alô! Tô ligando pra saber como você está Eu tava à toa e por isso resolvi ligar Pra contar que sonhei com você Alô! É tão bom ouvir de novo a sua voz Apesar da distância que há entre nós Tem uma coisa que eu preciso dizer Na verdade, eu liguei Esse sonho inventei pra te ouvir E pra contar que chorei Que a solidão tava doendo em mim Oh, ah! Eu só menti pra não sofrer Oh, ah! Eu só queria te dizer Tô morrendo de saudade de você Alô! Tô ligando pra saber como você está Eu tava à toa e por isso resolvi ligar Pra contar que sonhei com você Alô! É tão bom ouvir de novo a sua voz Apesar da distância que há entre nós Tem uma coisa que eu preciso dizer Na verdade, eu liguei Esse sonho inventei pra te ouvir E pra contar que chorei Que a solidão tava doendo em mim Oh, ah! Eu só menti pra não sofrer Oh, ah! Eu só queria te dizer Tô morrendo de saudade de você Oh, ah! Eu só menti pra não sofrer Oh, ah! Eu só queria te dizer Tô morrendo de saudade de você Tô morrendo de saudade de você",https://www.letras.mus.br/chitaozinho-e-xororo/45215/,1999.0,2025-09-30T18:47:44.578018,207,1
Página de Amigos,Chitãozinho e Xororó,"Como é que eu posso ser amigo De alguém que eu tanto amei? Se ainda existe aqui comigo Tudo dela e eu não sei Não sei o que eu vou fazer Pra continuar a minha vida assim Se o amor que morreu dentro dela Ainda vive em mim Ela ligou terminando Tudo entre eu e ela E disse que encontrou Outra pessoa Ela jogou os meus sonhos Todos pela janela E me pediu pra entender Encarar numa boa Como se o meu coração Fosse feito de aço Pediu pra esquecer Os beijos e abraços E pra machucar Ainda brincou comigo Disse em poucas palavras Por favor, entenda O seu nome vai Ficar na minha agenda Na página de amigos Como é que eu posso ser amigo De alguém que eu tanto amei? Se ainda existe aqui comigo Tudo dela e eu não sei Não sei o que eu vou fazer Pra continuar a minha vida assim Se o amor que morreu dentro dela Ainda vive em mim Ela jogou os meus sonhos Todos pela janela E me pediu pra entender Encarar numa boa Como se o meu coração Fosse feito de aço Pediu pra esquecer Os beijos e abraços E pra machucar Ainda brincou comigo Disse em poucas palavras Por favor, entenda O seu nome vai Ficar na minha agenda Na página de amigos Como é que eu posso ser amigo De alguém que eu tanto amei? Se ainda existe aqui comigo Tudo dela e eu não sei Não sei o que eu vou fazer Pra continuar a minha vida assim Se o amor que morreu dentro dela Ainda vive em mim Se o amor que morreu dentro dela Ainda vive em mim",https://www.letras.mus.br/chitaozinho-e-xororo/65961/,1995.0,2025-09-30T18:47:46.968655,283,1
Fio de Cabelo,Chitãozinho e Xororó,"Quando a gente ama Qualquer coisa serve para relembrar Um vestido velho da mulher amada Tem muito valor Aquele restinho do perfume dela que ficou no frasco Sobre a penteadeira mostrando que o quarto Já foi o cenário de um grande amor E hoje o que encontrei me deixou mais triste Um pedacinho dela que existe Um fio de cabelo no meu paletó Lembrei de tudo entre nós, do amor vivido Aquele fio de cabelo comprido Já esteve grudado em nosso suor Quando a gente ama E não vive junto da mulher amada Uma coisa à toa É um bom motivo pra gente chorar Apagam-se as luzes ao chegar a hora De ir para a cama A gente começa a esperar por quem ama Na impressão que ela venha se deitar E hoje o que encontrei me deixou mais triste Um pedacinho dela que existe Um fio de cabelo no meu paletó Lembrei de tudo entre nós, do amor vivido Aquele fio de cabelo comprido Já esteve grudado em nosso suor",https://www.letras.mus.br/chitaozinho-e-xororo/45223/,1982.0,2025-09-30T18:47:49.594574,171,1
Saudade da Minha Terra (part. João Paulo e Daniel),Chitãozinho e Xororó,"De que me adianta viver na cidade Se a felicidade não me acompanhar? Adeus, paulistinha do meu coração Lá pro meu sertão, eu quero voltar Ver a madrugada, quando a passarada Fazendo alvorada, começa a cantar Com satisfação, arreio o burrão Cortando estradão, saio a galopar E vou escutando o gado berrando Sabiá cantando no jequitibá Por Nossa Senhora, meu sertão querido Vivo arrependido por ter te deixado Esta nova vida aqui na cidade De tanta saudade, eu tenho chorado Aqui tem alguém, diz que me quer bem Mas não me convém, eu tenho pensado Eu digo com pena, mas esta morena Não sabe o sistema que eu fui criado Tô aqui cantando, de longe escutando Alguém está chorando com o rádio ligado Que saudade imensa do campo e do mato Do manso regato que corta as campinas Aos domingos ia passear de canoa Nas lindas lagoas de águas cristalinas Que doce lembrança daquelas festanças Onde tinham danças e lindas meninas Eu vivo hoje em dia sem ter alegria O mundo judia, mas também ensina Estou contrariado, mas não derrotado Eu sou bem guiado pelas mãos divinas Pra minha mãezinha já telegrafei E já me cansei de tanto sofrer Nesta madrugada, estarei de partida Pra terra querida que me viu nascer Já ouço, sonhando, o galo cantando O inhambu piando no escurecer A Lua prateada clareando a estrada A relva molhada desde o anoitecer Eu preciso ir pra ver tudo ali Foi lá que nasci, lá quero morrer",https://www.letras.mus.br/chitaozinho-e-xororo/71647/,1996.0,2025-09-30T18:47:51.800831,248,1
No Rancho Fundo,Chitãozinho e Xororó,"No rancho fundo Bem pra lá do fim do mundo Onde a dor e a saudade Contam coisas da cidade No rancho fundo De olhar triste e profundo Um moreno canta as mágoas Tendo os olhos rasos d'água Pobre moreno que de noite no sereno Espera a Lua no terreiro Tendo um cigarro por companheiro Sem um aceno Ele pega na viola E a Lua por esmola Vem pro quintal desse moreno No rancho fundo Bem pra lá do fim do mundo Nunca mais houve alegria Nem de noite, nem de dia Os arvoredos já não contam mais segredos E a última palmeira Já morreu na cordilheira Os passarinhos Hibernaram-se nos ninhos De tão triste essa tristeza Enche de trevas a natureza Tudo porque, só por causa do moreno Que era grande, hoje é pequeno Pra uma casa de sapê Se Deus soubesse Da tristeza lá na serra Mandaria lá pra cima Todo o amor que há na terra Porque o moreno Vive louco de saudade Só por causa do veneno Das mulheres da cidade Ele que era O cantor da primavera E que fez do rancho fundo O céu melhor que tem no mundo Se uma flor desabrocha E o Sol queima A montanha vai gelando Lembra o cheiro da morena",https://www.letras.mus.br/chitaozinho-e-xororo/45230/,1989.0,2025-09-30T18:47:54.882954,212,1
Sinônimos,Chitãozinho e Xororó,"Quanto tempo o coração leva pra saber Que o sinônimo de amar é sofrer? Num aroma de amores, pode haver espinhos É como ter mulheres em milhões e ser sozinho Na solidão de casa descansar O sentido da vida encontrar Quem pode dizer onde a felicidade está? O amor é feito de paixões e quando perde a razão Não sabe quem vai machucar Quem ama nunca sente medo de contar o seu segredo Sinônimo de amor é amar Quem revelará o mistério que tenha fé? E quantos segredos traz o coração de uma mulher? Como é triste a tristeza mendigando um sorriso Um cego procurando a luz na imensidão do paraíso Quem tem amor na vida, tem sorte Quem na fraqueza sabe ser bem mais forte Ninguém sabe dizer onde a felicidade está O amor é feito de paixões e quando perde a razão Não sabe quem vai machucar Quem ama nunca sente medo de contar o seu segredo Sinônimo de amor é amar O amor é feito de paixões e quando perde a razão Não sabe quem vai machucar Quem ama nunca sente medo de contar o seu segredo Sinônimo de amor é amar Quem revelará o mistério que tenha fé? E quantos segredos traz o coração de uma mulher? Como é triste a tristeza mendigando um sorriso Um cego procurando a luz na imensidão do paraíso O amor é feito de paixões e quando perde a razão Não sabe quem vai machucar Quem ama nunca sente medo de contar o seu segredo Sinônimo de amor é amar O amor é feito de paixões e quando perde a razão Não sabe quem vai machucar Quem ama nunca sente medo de contar o seu segredo Sinônimo de amor é amar O amor é feito de paixões e quando perde a razão Não sabe quem vai machucar Quem ama nunca sente medo de contar o seu segredo Sinônimo de amor é amar",https://www.letras.mus.br/chitaozinho-e-xororo/105427/,2004.0,2025-09-30T18:47:57.961458,321,1
60 Dias Apaixonado,Chitãozinho e Xororó,"Viajando pra Mato Grosso, Aparecida do Taboado Lá conheci uma morena, que me deixou amarrado Deixei a linda pequena, por Deus, confesso, desconsolado Mudei o jeito de ser Bebendo pra esquecer, 60 dias apaixonado Dois meses juntinho dela eternamente serão lembrados Pedaço da minha vida, lembranças do meu passado Jamais será esquecida a imagem dela, de um anjo amado Dois meses passaram logo É num copo que eu afogo, 60 dias apaixonado Se alguém fala em Mato Grosso eu sinto o peito despedaçado O pranto rola depressa, no meu rosto já cansado Jamais eu esquecerei Aparecida do Taboado Deixei a minha querida Deixei minha própria vida 60 dias apaixonado Deixei a minha querida Deixei minha própria vida 60 dias apaixonado",https://www.letras.mus.br/chitaozinho-e-xororo/276456/,1978.0,2025-09-30T18:48:00.402014,120,1
Fogão de Lenha,Chitãozinho e Xororó,"Espera, minha mãe, estou voltando Que falta faz pra mim um beijo seu O orvalho das manhãs cobrindo as flores E um raio de luar que era tão meu O sonho de grandeza, oh mãe querida Um dia separou vocês e eu Queria tanto ser alguém na vida E apenas sou mais um que se perdeu Pegue a viola, e a sanfona que eu tocava Deixe um bule de café em cima do fogão Fogão de lenha, e uma rede na varanda Arrume tudo, mãe querida O seu filho vai voltar Mãe, eu lembro tanto a nossa casa E as coisas que falou quando eu saí Lembro do meu pai, que ficou triste E nunca mais cantou depois que eu parti Hoje eu já sei, oh mãe querida Nas lições da vida eu aprendi O que eu vim procurar aqui distante? Eu sempre tive tudo e tudo está aí Pegue a viola, e a sanfona que eu tocava Deixe um bule de café em cima do fogão Fogão de lenha, e uma rede na varanda Arrume tudo, mãe querida O seu filho vai voltar Espera, minha mãe, estou voltando",https://www.letras.mus.br/chitaozinho-e-xororo/45224/,1987.0,2025-09-30T18:48:01.890378,189,1
Galopeira,Chitãozinho e Xororó,"Foi num baile em Assunción Capital do Paraguai Onde eu vi as paraguaias Sorridentes a bailar E ao som de suas guitarras Quatro guapos a cantar Galopeira, galopeira Eu também entrei a dançar Foi num baile em Assunción Capital do Paraguai Onde eu vi as paraguaias Sorridentes a bailar E ao som de suas guitarras Quatro guapos a cantar Galopeira, galopeira Eu também entrei a dançar Galopeira, nunca mais te esquecerei Galopeira, pra matar minha saudade Pra minha felicidade, Paraguai, eu voltarei Pra minha felicidade, Paraguai, eu voltarei Galopeira, nunca mais te esquecerei Galopeira, pra matar minha saudade Pra minha felicidade, Paraguai, eu voltarei Pra minha felicidade, Paraguai, eu voltarei",https://www.letras.mus.br/chitaozinho-e-xororo/283451/,1970.0,2025-09-30T18:48:03.494596,110,1
