ranking_posicao,titulo,tag_musica,tag_trecho,letra,artista,ano,contagem_palavras
4,Segundo Amor da Sua Vida,musica1,musica1_trecho1,Não se diminua pra caber num coração,Marilia Mendonca,2025.0,7
5,Amor Dos Outros,musica2,musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",Henrique & Juliano,2025.0,7
6,Sua Boca Mente (You're Still The One) (part. Ana Castela),musica3,musica3_trecho1,"(Hum, hum, hum)Eu não sabia",Ze Felipe,2025.0,5
7,Caso Indefinido,musica4,musica4_trecho1,Será que alguém explica a nossa relação?,Cristiano Araujo,2013.0,7
8,Deixa Eu,musica5,musica5_trecho1,Agora pronto,Murilo Huff,2025.0,2
9,Body Splash (part. Luan Pereira),musica6,musica6_trecho1,"Troquei de lençol, troquei de colchão",Felipe Araujo,2024.0,6
10,Tubarões,musica7,musica7_trecho1,Se quer saber de mim,Diego Victor Hugo,2025.0,5
11,Se Eu Te Perdoar (part. Zé Felipe),musica8,musica8_trecho1,Joga uma taça no chão e pede desculpa,Clayton Romario,,8
12,Seja Ex,musica9,musica9_trecho1,(Cê foi embora pra ser o quê?,Henrique & Juliano,2025.0,7
13,Princesa (part. Ana Castela),musica10,musica10_trecho1,"Respira, não pira",Gustavo Mioto,2025.0,3
