tag_trecho,letra,topico_id,topicos_temas,classificado_positivo
musica1_trecho1,Não se diminua pra caber num coração,1,Amor e relações amorosas,1
musica1_trecho1,Não se diminua pra caber num coração,4,"Conhecimento, esperança e expectativa",0
musica1_trecho1,Não se diminua pra caber num coração,5,"Crescimento, consquita e pertencimento",0
musica1_trecho1,Não se diminua pra caber num coração,9,"Despedidas, morte e fragilidade",1
musica1_trecho1,Não se diminua pra caber num coração,7,"Infidelidade, tristeza e sofrimento",0
musica1_trecho1,Não se diminua pra caber num coração,2,"Inspiração, paz e harmonia",0
musica1_trecho1,Não se diminua pra caber num coração,3,"Intimidade, desejo e sedução",0
musica1_trecho1,Não se diminua pra caber num coração,8,Ostentação e consumismo,0
musica1_trecho1,Não se diminua pra caber num coração,6,"Perdas, arrependimento e vulnerabilidade",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",1,Amor e relações amorosas,1
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",4,"Conhecimento, esperança e expectativa",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",5,"Crescimento, consquita e pertencimento",1
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",9,"Despedidas, morte e fragilidade",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",7,"Infidelidade, tristeza e sofrimento",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",2,"Inspiração, paz e harmonia",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",3,"Intimidade, desejo e sedução",0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",8,Ostentação e consumismo,0
musica2_trecho1,"Mais um casal surgindo, anéis de compromisso",6,"Perdas, arrependimento e vulnerabilidade",0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",1,Amor e relações amorosas,0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",4,"Conhecimento, esperança e expectativa",1
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",5,"Crescimento, consquita e pertencimento",0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",9,"Despedidas, morte e fragilidade",1
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",7,"Infidelidade, tristeza e sofrimento",0
musica3_trecho1,"(Hum, hum, hum)Eu não sabia",2,"Inspiração, paz e harmonia",0
